GRBname,T90_start,T90_end,T100_start,T100_end,fluence,hardness
GRB081025,0.0,25.172,1.848,24.608,4.573759e-06 ,2.0683777054204175
GRB081024A,-1.656,0.268,-1.624,0.2,2.915447e-07 ,2.1528811410693196
GRB081022,-4.928,213.82,11.488,169.068,4.281923e-06 ,1.3933816065828195
GRB081017,,,,,2.343813e-06 ,1.4845001689229582
GRB081016B,-0.02,2.956,0.232,2.848,3.150888e-07 ,3.0234289730164576
GRB081012,-23.46,9.32,-21.084,7.888,2.878120e-06 ,2.3842402872119104
GRB081011,0.848,19.088,1.104,18.192,3.642964e-07 ,1.6933239033722796
GRB081008,-65.888,195.912,-43.372,144.452,7.011318e-06 ,1.3527574177393673
GRB081007,-8.672,6.816,-4.0,5.728,8.993348e-07 ,0.824536637244562
GRB080928,51.292,318.94,64.46,298.12,3.778096e-06 ,1.2823011741581338
GRB080919,0.092,0.76,0.12,0.72,1.868988e-07 ,2.546655281249467
GRB080916B,-2.592,35.736,-0.948,32.596,1.181269e-06 ,1.7166431107744295
GRB080916A,-2.4,88.64,-0.576,60.772,7.469340e-06 ,1.4088661999587095
GRB080915B,-0.532,6.148,-0.156,3.896,1.529278e-06 ,1.0712970422006083
GRB080915A,-2.672,26.72,-0.816,25.472,4.912580e-07 ,1.623528743282952
GRB080913,-3.772,4.556,-3.28,4.176,1.230611e-06 ,1.9663015182749748
GRB080906,-104.996,109.556,-67.732,80.48,6.403977e-06 ,1.4692643980961462
GRB080905B,-0.728,149.692,0.412,121.348,2.929057e-06 ,1.3821016131231671
GRB080905A,0.04,1.128,0.048,1.064,4.071729e-07 ,2.8459668876341917
GRB080903,-10.544,68.008,-7.744,58.596,2.547981e-06 ,1.3322327355034815
GRB080822B,,,,,2.206276e-07 ,1.0989552801978264
GRB080810,-20.496,106.492,-6.224,101.444,9.523876e-06 ,1.7258783854607738
GRB080805,-6.512,131.472,-1.072,105.552,4.646105e-06 ,1.4648395157970313
GRB080804,-0.352,112.856,0.78,38.652,8.838457e-06 ,2.0361050858222414
GRB080802,-26.552,179.72,-16.904,162.6,2.155406e-06 ,1.3926433046466504
GRB080727C,-3.3,110.248,1.68,79.044,1.151505e-05 ,1.7705568738911457
GRB080727B,-0.236,9.504,0.092,8.756,7.686860e-06 ,1.9973759188586597
GRB080727A,-0.14,5.188,0.06,4.972,2.835922e-07 ,2.1788135513828992
GRB080725,-105.516,50.024,-62.404,30.332,7.168864e-06 ,1.592172148210673
GRB080723A,-0.232,18.708,0.04,17.376,5.365621e-07 ,1.3709130621998202
GRB080721,-10.248,360.136,-8.088,121.608,3.507931e-05 ,1.9444199854019935
GRB080714,-3.812,32.212,-2.54,23.272,4.685474e-06 ,1.5469988496239233
GRB080710,-96.216,66.548,-90.62,52.368,2.794052e-06 ,1.6751740931404122
GRB080707,-1.824,31.268,-1.212,28.952,9.889327e-07 ,1.34775241908489
GRB080703,-1.704,2.208,-1.472,2.044,3.806789e-07 ,1.7204814439950755
GRB080702B,0.0,18.292,0.644,16.056,1.023467e-06 ,1.8024782726582378
GRB080702A,-0.048,0.528,-0.048,0.464,7.982012e-08 ,2.3202260930730625
GRB080701,-2.728,22.46,-2.076,15.74,9.662693e-07 ,0.9979989627737424
GRB080623,-0.672,15.972,-0.16,14.936,2.168819e-06 ,1.8240646897298212
GRB080613B,-5.284,129.836,-1.376,78.072,1.125888e-05 ,1.637909191611811
GRB080607,-5.96,155.84,-2.996,75.976,5.177600e-05 ,1.7342033111163693
GRB080605,-5.532,22.576,-2.804,15.252,2.682322e-05 ,1.6312482419903243
GRB080604,-28.264,58.608,-24.336,53.272,1.261973e-06 ,1.3825787754841883
GRB080603B,-0.116,68.256,0.944,60.068,4.016480e-06 ,1.2460918306304718
GRB080602,-11.488,69.244,-9.756,64.532,6.650969e-06 ,1.801897342713249
GRB080524,0.0,6.4,0.0,6.4,6.654720e-07 ,2.8775306040872852
GRB080523,-15.112,32.888,-15.112,32.888,1.573335e-06 ,1.8171053601806761
GRB080520,-0.312,3.324,-0.132,3.192,6.208030e-08 ,0.6617137619341228
GRB080517,-0.764,68.388,0.544,65.052,1.086481e-06 ,1.8438264622236724
GRB080516,0.084,6.056,0.156,5.92,3.969719e-07 ,1.320566105597534
GRB080515,-10.64,17.088,-6.0,14.864,3.279064e-06 ,0.9541133729293558
GRB080506,19.068,188.82,31.68,183.88,1.993552e-06 ,1.313802557751168
GRB080503,-2.192,221.808,-2.192,173.808,2.948819e-06 ,1.1638581490527509
GRB080430,-0.3,17.364,0.376,14.248,1.816063e-06 ,1.2513538105002295
GRB080426,-0.148,2.088,-0.024,1.708,5.319757e-07 ,1.1328695608198134
GRB080413B,-1.264,10.736,-1.264,6.736,5.186462e-06 ,1.2381405444843092
GRB080413A,-0.08,50.336,1.116,47.476,6.131022e-06 ,1.4287286062143338
GRB080411,-0.272,77.276,4.72,61.048,4.216206e-05 ,1.2668936022894797
GRB080409,-13.1,10.412,-12.764,9.892,8.399098e-07 ,1.0867507256019644
GRB080405,0.0,72.0,3.2,67.2,2.809868e-06 ,1.7875165708593903
GRB080330,-0.548,62.12,-0.08,60.284,3.299284e-07 ,0.8518833459780089
GRB080328,-2.244,120.62,0.084,91.192,1.783946e-05 ,1.5489239826782768
GRB080325,-33.336,170.028,-26.944,139.796,8.564676e-06 ,1.5059132834502063
GRB080320,-1.672,13.848,-1.124,12.692,4.674463e-07 ,1.471905658462203
GRB080319D,4.984,34.476,7.232,34.172,4.867935e-07 ,1.429025209900655
GRB080319C,-0.328,43.42,0.212,29.764,7.135065e-06 ,1.7158919419787086
GRB080319B,-3.844,302.048,5.044,129.904,2.062679e-04 ,1.980341983111265
GRB080319A,-0.376,49.0,1.336,44.952,7.684244e-06 ,1.4842253247359338
GRB080315,,,,,1.708716e-07 ,1.3458297134468293
